name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2023-03-03,28.8,23.1,25,32.6,23.1,25.6,23.4,91.3,40.356,100,8.33,rain,0,0,6.5,15.5,274.8,1014.4,40.1,8.8,102.4,8.8,4,10,2023-03-03T07:23:28,2023-03-03T19:27:08,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-04,30.9,23.1,26.5,34.4,23.1,27.9,22.4,79.9,8.42,100,4.17,rain,0,0,11.5,11.6,54.3,1014.6,46.7,9.6,129.7,11.3,5,10,2023-03-04T07:23:10,2023-03-04T19:27:00,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-05,33.2,23.8,27.1,37.1,23.8,28.7,22.3,76.8,0,0,0,rain,0,0,13.3,15.3,301.6,1013.6,55,10,231.8,20,9,10,2023-03-05T07:22:52,2023-03-05T19:26:52,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-06,32,22.9,26.7,36.3,22.9,27.9,22.6,79.7,0,0,0,rain,0,0,7.6,21.7,242.3,1012.7,44.4,9.6,286.9,24.9,10,10,2023-03-06T07:22:34,2023-03-06T19:26:43,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-07,34,23.1,27.7,37.3,23.1,29.2,22,73.8,0,0,0,rain,0,0,9,15.7,344.5,1012.1,47.7,8.9,227.9,19.6,10,10,2023-03-07T07:22:14,2023-03-07T19:26:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-08,33.8,24.3,28.5,37.5,24.3,30.6,22.4,71.2,0,0,0,rain,0,0,9.7,12.5,126.9,1011.9,49.8,10,236,20.4,10,10,2023-03-08T07:21:55,2023-03-08T19:26:25,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-09,33.9,25.1,28.4,37,25.1,30.4,22.8,73.5,0,0,0,rain,0,0,16.2,15.5,50.7,1010.5,46.9,9.6,283.8,24.5,10,10,2023-03-09T07:21:35,2023-03-09T19:26:15,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-10,32.9,24.8,27.8,37.8,24.8,29.5,22.9,76.7,0.707,100,4.17,rain,0,0,38.9,16.6,232.4,1010.2,55.6,10,242.9,21,10,30,2023-03-10T07:21:15,2023-03-10T19:26:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-11,32.8,24.8,27.4,38.9,24.8,29.4,23.8,82,32.71,100,8.33,rain,0,0,9.7,15.5,327.3,1011.1,54.1,9,295.8,25.6,10,30,2023-03-11T07:20:54,2023-03-11T19:25:55,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-12,32.8,24.9,27.2,38.1,24.9,29.2,24,83.6,70.127,100,4.17,rain,0,0,7.6,12.3,171.5,1010.8,50.7,9.7,287.1,24.8,10,30,2023-03-12T07:20:33,2023-03-12T19:25:44,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-13,31.8,24.9,27.6,34.4,24.9,29,22,73.5,8.745,100,4.17,rain,0,0,13,12.5,74.1,1009.8,51.7,9.2,261.3,22.7,9,10,2023-03-13T07:20:12,2023-03-13T19:25:33,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
